"Centroid Data for pc board: ""CANnode.brd"" as of: 3/14/2016 3:30 AM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.363,1.924,180
C2,Top,1.363,1.877,180
C3,Top,1.974,1.848,90
C4,Top,1.974,1.602,90
C5,Top,1.335,2.047,0
C6,Top,1.363,1.83,180
C7,Top,0.964,0.252,270
C8,Bottom,1.522,0.888,0
C9,Top,2.055,1.464,90
C10,Top,0.669,0.263,0
C11,Bottom,0.275,0.525,0
C12,Bottom,0.485,0.523,180
C13,Top,1.489,1.069,90
C14,Top,1.111,0.357,270
C15,Top,1.044,0.657,90
C16,Top,1.628,0.257,270
C17,Top,1.878,0.528,0
C18,Top,1.842,0.477,0
C19,Top,1.847,0.822,0
C20,Top,1.852,0.642,0
C21,Top,1.353,0.179,270
C22,Top,1.198,0.155,180
C23,Top,1.035,0.764,180
C24,Top,1.05,0.34,270
C25,Top,1.832,0.405,0
C26,Top,1.876,0.747,0
C27,Top,1.417,0.204,90
C28,Top,1.465,0.204,270
C29,Bottom,1.119,2.207,90
C30,Bottom,1.499,2.015,270
C31,Bottom,1.891,1.232,0
C32,Bottom,1.418,0.888,0
C33,Bottom,1.625,0.889,0
C34,Bottom,1.213,0.889,180
C35,Bottom,1.316,0.888,0
C36,Bottom,1.752,1.232,180
C37,Bottom,1.772,1.906,0
C38,Bottom,1.119,2.089,270
C39,Bottom,0.382,0.525,180
C40,Bottom,1.118,1.976,270
C41,Bottom,1.539,1.647,0
C42,Bottom,1.612,1.232,0
C43,Bottom,1.727,0.888,0
C44,Bottom,1.828,0.889,0
C45,Bottom,1.113,0.889,180
C46,Top,0.683,1.043,270
C47,Bottom,1.472,1.232,0
C48,Bottom,1.428,1.649,0
C49,Bottom,1.498,2.137,270
C50,Bottom,0.173,0.524,0
C51,Top,0.616,1.359,90
C52,Top,0.722,1.213,0
C53,Top,0.722,1.151,0
C54,Top,0.52,1.359,90
C55,Top,0.287,1.263,180
C56,Bottom,0.166,0.826,0
C57,Bottom,0.82,0.98,270
C58,Bottom,0.633,1.76,90
C59,Bottom,0.378,1.759,90
C60,Bottom,0.27,0.796,270
C61,Bottom,0.586,1.559,90
C62,Bottom,0.277,1.366,90
C63,Bottom,0.624,0.765,180
C64,Bottom,0.157,1.213,0
C65,Bottom,0.891,0.966,270
C66,Bottom,0.812,1.215,270
C67,Bottom,0.202,0.969,270
C68,Bottom,0.83,1.984,90
C69,Bottom,0.707,1.742,90
C70,Bottom,0.29,1.741,90
C71,Top,0.158,1.607,0
C72,Top,0.178,1.372,180
C73,Top,1.537,1.069,90
C74,Top,1.363,1.971,180
C75,Top,0.172,0.591,180
C76,Top,1.43,1.535,270
D1,Top,1.075,2.166,180
D2,Top,0.698,2.026,90
D3,Top,0.552,2.026,90
D4,Bottom,0.484,0.657,180
D5,Bottom,0.382,0.657,180
D6,Bottom,0.275,0.657,0
D7,Top,0.461,0.601,270
D8,Top,0.397,0.477,90
D9,Top,1.984,1.156,90
D10,Bottom,0.997,2.207,90
D11,Bottom,0.997,2.09,270
D12,Bottom,0.999,1.975,270
D13,Bottom,1.378,2.013,270
D14,Bottom,1.769,2.027,0
D15,Bottom,1.536,1.769,0
D16,Bottom,1.891,1.327,0
D17,Bottom,1.752,1.327,180
D18,Bottom,1.612,1.327,0
D19,Bottom,1.418,0.984,0
D20,Bottom,1.316,0.984,0
D21,Bottom,1.213,0.984,180
D22,Bottom,1.522,0.985,0
D23,Bottom,1.625,0.986,0
D24,Bottom,1.727,0.985,0
D25,Top,1.984,1.364,90
D26,Top,0.526,0.906,270
D27,Top,0.076,1.028,270
D28,Top,0.082,1.245,90
D29,Top,0.713,1.79,180
D30,Bottom,0.172,0.657,0
D31,Bottom,1.472,1.327,0
D32,Bottom,1.425,1.77,0
D33,Bottom,1.376,2.137,270
D34,Bottom,1.113,0.985,180
D35,Bottom,1.829,0.986,0
D36,Top,2.225,1.91,0
D37,Top,1.238,2.186,270
D38,Top,1.344,2.208,90
F1,Top,1.164,1.996,90
FB1,Bottom,0.547,1.76,270
FB2,Bottom,0.461,1.759,270
IC1,Top,1.707,1.288,270
IC2,Top,0.785,0.502,90
Q1,Top,0.675,1.611,180
Q3,Top,0.17,0.741,180
R1,Top,1.837,1.852,90
R2,Top,1.891,1.852,90
R3,Top,1.445,2.207,0
R5,Top,1.984,1.264,90
R6,Top,0.46,0.477,270
R7,Top,1.575,1.614,270
R8,Bottom,0.484,0.462,0
R9,Bottom,0.497,0.384,90
R10,Bottom,0.382,0.464,0
R11,Bottom,0.496,0.294,90
R12,Bottom,0.274,0.464,180
R13,Bottom,0.496,0.198,270
R14,Bottom,0.172,0.463,180
R15,Bottom,0.497,0.108,270
R16,Bottom,1.184,2.206,270
R17,Bottom,1.244,2.206,90
R18,Bottom,1.183,2.089,90
R19,Bottom,1.244,2.089,270
R20,Bottom,1.183,1.976,90
R21,Bottom,1.244,1.977,270
R22,Bottom,1.562,2.136,90
R23,Bottom,1.623,2.137,270
R24,Bottom,1.559,2.016,90
R25,Bottom,1.619,2.016,270
R26,Bottom,1.772,1.845,180
R27,Bottom,1.772,1.786,0
R28,Bottom,1.54,1.587,180
R29,Bottom,1.539,1.528,0
R30,Bottom,1.428,1.589,180
R31,Bottom,1.428,1.528,0
R32,Bottom,1.891,1.184,180
R33,Bottom,1.89,1.135,0
R34,Bottom,1.752,1.183,0
R35,Bottom,1.751,1.135,180
R36,Bottom,1.612,1.184,180
R37,Bottom,1.612,1.135,0
R38,Bottom,1.472,1.184,180
R39,Bottom,1.472,1.136,0
R40,Bottom,1.316,0.936,0
R41,Top,0.651,2.025,270
R42,Top,0.6,2.025,270
R43,Bottom,1.419,0.84,180
R44,Bottom,1.418,0.793,0
R45,Bottom,1.316,0.84,180
R46,Bottom,1.316,0.792,0
R47,Bottom,1.213,0.841,0
R48,Bottom,1.214,0.793,180
R49,Bottom,1.113,0.841,0
R50,Bottom,1.113,0.793,180
R51,Bottom,1.523,0.839,180
R52,Bottom,1.523,0.79,0
R53,Bottom,1.625,0.84,180
R54,Bottom,1.625,0.79,0
R55,Bottom,1.727,0.839,180
R56,Bottom,1.727,0.79,0
R57,Bottom,1.829,0.84,180
R58,Bottom,1.829,0.79,0
R59,Bottom,2.267,0.382,180
R60,Top,0.154,0.65,0
R61,Bottom,0.274,0.591,0
R62,Bottom,0.485,0.59,180
R63,Bottom,1.058,2.207,90
R64,Bottom,1.438,2.014,270
R65,Bottom,1.891,1.28,0
R66,Bottom,1.418,0.936,0
R67,Bottom,1.213,0.937,180
R68,Bottom,1.522,0.936,0
R69,Bottom,1.625,0.937,0
R70,Bottom,1.752,1.28,180
R71,Bottom,1.77,1.967,0
R72,Bottom,1.058,2.09,270
R73,Bottom,0.381,0.591,180
R74,Bottom,1.058,1.976,270
R75,Bottom,1.537,1.708,0
R76,Bottom,1.612,1.28,0
R77,Bottom,1.727,0.937,0
R78,Bottom,1.829,0.937,0
R79,Bottom,1.113,0.937,180
R81,Bottom,1.472,1.28,0
R82,Bottom,1.426,1.71,0
R83,Bottom,1.437,2.137,270
R84,Bottom,0.172,0.591,0
R86,Top,0.468,1.358,90
R89,Top,0.413,1.358,270
R90,Top,0.361,1.358,270
R91,Top,0.307,0.952,90
R92,Top,0.287,1.212,0
R93,Top,0.287,1.059,0
R94,Top,0.287,1.11,0
R95,Top,0.287,1.162,0
R96,Top,0.595,0.898,270
R97,Top,0.691,1.359,90
R98,Top,0.466,0.952,90
R99,Top,0.652,0.899,90
R100,Top,0.415,0.952,90
R101,Top,0.364,0.952,90
R102,Top,0.15,0.99,90
R103,Bottom,0.514,0.765,180
R104,Bottom,0.414,0.773,0
R105,Bottom,0.33,0.794,270
R106,Bottom,0.157,1.109,0
R107,Bottom,0.157,1.16,0
R108,Bottom,0.631,2.182,0
R109,Bottom,0.647,1.63,270
R110,Bottom,0.317,1.565,270
R111,Bottom,0.883,2.149,180
R112,Bottom,0.884,2.225,180
R113,Bottom,0.631,2.247,0
R114,Top,0.704,1.714,180
R115,Top,0.657,1.499,0
TP1,Top,2.345,1.911,270
U$5,Top,0.724,2.143,180
U1,Bottom,0.896,0.28,90
U2,Top,1.651,1.824,0
U3,Bottom,0.644,0.281,270
U4,Bottom,1.907,0.28,90
U5,Bottom,1.655,0.28,90
U6,Bottom,1.403,0.28,90
U7,Top,1.44,0.666,90
U8,Bottom,1.151,0.28,270
U9,Top,0.412,1.081,90
U10,Bottom,0.702,1.32,270
U11,Bottom,0.703,1.861,90
XTAL1,Top,1.763,0.278,90
Y1,Top,0.168,1.49,270
